1-2009,1,12
1-2009,2,187
1-2010,1,1
1-2010,2,24
1-2011,1,730
1-2011,2,4176
1-2012,1,637
1-2012,2,2650
1-2013,1,567
1-2013,2,1623
1-2014,1,592
1-2014,2,1506
1-2015,1,630
1-2015,2,1300
10-2008,1,11
10-2008,2,187
10-2009,1,2
10-2009,2,28
10-2010,1,519
10-2010,2,3545
10-2011,1,706
10-2011,2,3062
10-2012,1,697
10-2012,2,2207
10-2013,1,567
10-2013,2,1427
10-2014,1,531
10-2014,2,1095
11-2008,1,5
11-2008,2,69
11-2009,1,2
11-2009,2,67
11-2010,1,533
11-2010,2,3542
11-2011,1,737
11-2011,2,2991
11-2012,1,682
11-2012,2,2012
11-2013,1,494
11-2013,2,1158
11-2014,1,552
11-2014,2,1081
12-2008,1,5
12-2008,2,118
12-2009,1,1
12-2009,2,28
12-2010,1,638
12-2010,2,4330
12-2011,1,719
12-2011,2,2810
12-2012,1,511
12-2012,2,1541
12-2013,1,480
12-2013,2,1189
12-2014,1,528
12-2014,2,1088
2-2009,1,10
2-2009,2,241
2-2010,1,2
2-2010,2,41
2-2011,1,867
2-2011,2,5113
2-2012,1,708
2-2012,2,2821
2-2013,1,587
2-2013,2,1638
2-2014,1,613
2-2014,2,1452
2-2015,1,761
2-2015,2,1307
3-2009,1,9
3-2009,2,112
3-2010,1,5
3-2010,2,53
3-2011,1,966
3-2011,2,5073
3-2012,1,711
3-2012,2,2646
3-2013,1,641
3-2013,2,1759
3-2014,1,654
3-2014,2,1429
3-2015,1,286
3-2015,2,351
4-2009,1,3
4-2009,2,35
4-2010,1,1
4-2010,2,36
4-2011,1,881
4-2011,2,3983
4-2012,1,587
4-2012,2,2324
4-2013,1,616
4-2013,2,1594
4-2014,1,631
4-2014,2,1247
5-2009,1,5
5-2009,2,91
5-2010,1,7
5-2010,2,119
5-2011,1,830
5-2011,2,3837
5-2012,1,648
5-2012,2,2450
5-2013,1,663
5-2013,2,1718
5-2014,1,636
5-2014,2,1309
6-2009,1,4
6-2009,2,62
6-2010,1,3
6-2010,2,38
6-2011,1,881
6-2011,2,4107
6-2012,1,603
6-2012,2,2246
6-2013,1,608
6-2013,2,1548
6-2014,1,545
6-2014,2,1166
7-2009,1,3
7-2009,2,71
7-2010,1,1
7-2010,2,36
7-2011,1,874
7-2011,2,4037
7-2012,1,597
7-2012,2,1989
7-2013,1,637
7-2013,2,1676
7-2014,1,676
7-2014,2,1483
8-2008,1,5
8-2008,2,50
8-2009,1,1
8-2009,2,61
8-2010,1,5
8-2010,2,64
8-2011,1,884
8-2011,2,4221
8-2012,1,643
8-2012,2,2386
8-2013,1,600
8-2013,2,1562
8-2014,1,626
8-2014,2,1341
9-2008,1,13
9-2008,2,567
9-2009,1,10
9-2009,2,165
9-2010,1,489
9-2010,2,3360
9-2011,1,753
9-2011,2,3658
9-2012,1,607
9-2012,2,1990
9-2013,1,510
9-2013,2,1311
9-2014,1,565
9-2014,2,1184
